Tweet ID,Text,Created At,Views,Likes,Retweets,Replies,Quotes
1929373423748141516,RT @dojacaralhuda: @DojaCat https://t.co/75sZ0bY0dp,Mon Jun 02 03:04:04 +0000 2025,145,0,53,0,0
1929372282155090126,daydreaming https://t.co/eGi1sxIw4e,Mon Jun 02 02:59:32 +0000 2025,745565,31218,1300,568,240
1929210088213934363,RT @REM0TIVE: SOMEONE ON TIKTOK CALLED DOJA “DUBAI CHOCOLATE” 😭😭😭😭 https://t.co/FCqaEtXN2R,Sun Jun 01 16:15:02 +0000 2025,,0,1299,0,0
1929209208609599514,i love it,Sun Jun 01 16:11:32 +0000 2025,2325515,65367,2811,491,113
1928303377630318606,whos playing club penguin as an adult this isnt a judgement on anyones character i just wanna know if anybody feels it still hits the same,Fri May 30 04:12:06 +0000 2025,410919,14441,579,491,101
1925553902025417136,RT @baldvcci: @Ralph79247888 you should be worried about worrying over ytb numbers in 2025,Thu May 22 14:06:39 +0000 2025,668,0,31,0,0
1925553839068893651,"RT @_Lazythecat_: @Ralph79247888 Just listen to the damn music, who cares about the views smh",Thu May 22 14:06:24 +0000 2025,207,0,34,0,0
1925553700228993156,"RT @chunkemztv: @Ralph79247888 Why are you worried about numbers???, just listen and enjoy the music?",Thu May 22 14:05:51 +0000 2025,185,0,30,0,0
1925553677705650461,RT @aper6014: @Ralph79247888 maybe stop worrying then and just enjoy the music 😭,Thu May 22 14:05:46 +0000 2025,133,0,16,0,0
1925553582310408553,RT @szasbugg: @Ralph79247888 Idc abt view as long as its good music,Thu May 22 14:05:23 +0000 2025,111,0,27,0,0
1923181754933768658,okay i love the star wars season now,Fri May 16 01:00:36 +0000 2025,354338,8440,453,353,64
1922075064788205694,those r ai,Mon May 12 23:43:00 +0000 2025,1070030,15805,461,209,26
1922074480865681745,the lightsabers are just a re-run of airbending so no I do not fuck with them at all. only good for travel and people who dont even know how to aim.,Mon May 12 23:40:41 +0000 2025,638346,8493,453,303,145
1922073229180440827,its not and its only for 2 months,Mon May 12 23:35:42 +0000 2025,549127,5004,163,195,17
1922072791441969631,I missed the fact that there are multiple sections on the map that have starwars themes im sorry fortnite,Mon May 12 23:33:58 +0000 2025,651054,12715,373,241,63
1921993159564750988,Just Say You Hate Women https://t.co/gkpWcPn8EL via @YouTube,Mon May 12 18:17:32 +0000 2025,8425081,24415,2068,980,1479
