date,negative,neutral,positive,net_sentiment,platform
2025-02-28,0,1,0,0,Instagram
2025-03-13,0,0,1,1,Instagram
2025-03-27,0,1,0,0,Instagram
2025-03-28,1,0,0,-1,Instagram
2025-03-29,1,0,1,0,Instagram
2025-03-30,0,1,3,3,Instagram
2025-03-31,0,3,0,0,Instagram
2025-04-01,0,3,0,0,Instagram
2025-04-02,0,1,0,0,Instagram
2025-04-03,0,3,8,8,Instagram
2025-04-04,0,0,1,1,Instagram
2025-04-06,0,2,3,3,Instagram
2025-04-07,0,1,0,0,Instagram
2025-04-08,1,0,0,-1,Instagram
2025-04-09,0,0,2,2,Instagram
2025-04-10,0,1,0,0,Instagram
2025-04-11,0,2,0,0,Instagram
2025-04-12,1,0,1,0,Instagram
2025-04-13,0,8,4,4,Instagram
2025-04-14,0,7,1,1,Instagram
2025-04-15,0,1,2,2,Instagram
2025-04-16,1,14,5,4,Instagram
2025-04-17,1,2,1,0,Instagram
2025-04-18,0,2,4,4,Instagram
2025-04-19,3,3,5,2,Instagram
2025-04-20,1,0,2,1,Instagram
2025-04-21,0,3,1,1,Instagram
2025-04-22,0,2,2,2,Instagram
2025-04-23,0,25,3,3,Instagram
2025-04-24,0,4,2,2,Instagram
2025-04-25,0,1,2,2,Instagram
2025-04-26,0,0,3,3,Instagram
2025-04-27,0,1,2,2,Instagram
2025-04-28,0,2,1,1,Instagram
2025-04-29,0,1,14,14,Instagram
2025-04-30,0,2,0,0,Instagram
2025-05-01,0,3,2,2,Instagram
2025-05-03,0,5,5,5,Instagram
2025-05-04,1,2,0,-1,Instagram
2025-05-05,0,3,2,2,Instagram
2025-05-06,0,1,3,3,Instagram
2025-05-07,0,1,0,0,Instagram
2025-05-08,0,1,0,0,Instagram
2025-05-09,1,3,9,8,Instagram
2025-05-10,0,1,1,1,Instagram
2025-05-11,0,4,3,3,Instagram
2025-05-12,1,2,0,-1,Instagram
2025-05-13,1,4,1,0,Instagram
2025-05-14,0,5,5,5,Instagram
2025-05-15,1,5,2,1,Instagram
2025-05-16,2,2,2,0,Instagram
2025-05-17,0,11,10,10,Instagram
2025-05-18,0,4,12,12,Instagram
2025-05-19,0,10,7,7,Instagram
2025-05-20,0,8,9,9,Instagram
2025-05-21,1,11,3,2,Instagram
2025-05-22,1,15,13,12,Instagram
2025-05-23,0,5,9,9,Instagram
2025-05-24,0,10,6,6,Instagram
2025-05-25,1,12,7,6,Instagram
2025-05-26,3,8,15,12,Instagram
2025-05-27,1,12,11,10,Instagram
2025-05-28,3,24,28,25,Instagram
2025-05-29,4,29,26,22,Instagram
2025-05-30,13,65,107,94,Instagram
2025-05-31,5,83,57,52,Instagram
