Post ID,Code,Post Text,Translated Text,Likes,Comments,Timestamp
3609168571240404314,DIWV7F_SdVa,Thank You China & Mongolia🇨🇳🇭🇰🇲🇳,,6503360,0,1744479717
3608391284256046192,DITlMFEsnxw,"@ishowspeed opened the wrong door 🚪
I watched the chaos unfold 🤯
Eubank vs Benn — when the game ends, the real battle begins, live from London 🎮🥊

📍Tottenham Hotspur Stadium
🗓️26 April, 2025 

​#FATALFURY #CotW #REVITUP

Buy PPV on DAZN and SKY
https://fatalfury.club/ring/uk

@fatalfury_pr",,523905,0,1744388545
3606795476725923100,DIN6WBfu_0c,One Way Out 🕳️ #ishowspeed,,12340612,0,1744183718
3600436154469917590,DH3UZtHpyOW,Super Idol🇨🇳 #ishowspeed,,12164818,0,1743425504
3599513597064750485,DH0CoulO6WV,climbing the LOVE LADDER 🇨🇳🏔️ #ishowspeed,,14722416,0,1743315680
3598215358221614032,DHvbc3cJ3vQ,i learned kung fu 🥋🇨🇳 #ishowspeed,,13015931,0,1743160747
3592443009033491088,DHa6-IVRtKQ,Every shoe for every athlete. All at DICK’S.,,1208731,0,1742473178
3556532376513898525,DFbV1pmSWgd,Thank you South America 🇵🇪🇪🇨🇨🇱🇦🇷🇺🇾🇵🇾🇨🇴🇬🇹🇧🇴🇧🇷🇵🇦,,6398219,0,1738191721
3550641739436618351,DFGadmTy3Jv,happy birthday to me i’m 20 now🫶🏽,,10862278,0,1737489715
3518341377513769483,DDTqNeFREoL,STREAMER OF THE YEAR.,,5563660,0,1733638998
3489120264519181940,DBr2GT5SGZ0,Ballon D’or💔🏆 2024,,8656701,0,1730155571
3464874381274807373,DAVtORfPHxN,Thank you South East Asia🇮🇩🇲🇾🇵🇭🇰🇭🇸🇬🇹🇭🇻🇳🇱🇦🇧🇳🇹🇱🇲🇲,,4917188,0,1727265370
3426763462678975500,C-OTzaqRJQM,JUMPED OVER TWO CARS… HISTORY! 🏎️💨 #ishowspeed,,14637065,0,1722722289
3420097376370004578,C92oHF_x5Ji,jumping OVER MY CAR 🏎️💨 #ishowspeed,,15236060,0,1721927532
3417295601329918504,C9srD5pxlIo,Thank You Europe🇵🇱🇸🇪🇳🇴🇷🇴🇩🇪🇳🇱🇮🇪🇭🇺🇬🇷🇧🇪🇦🇹🇩🇰🇳🇱🇦🇱🇧🇬🇨🇿🇪🇸🇵🇹🇱🇺🇱🇹🇹🇷🇸🇦🇨🇭🇪🇺,,6269935,0,1721595064
3405769260277173839,C9DuRkBxA5P,"damn man it can’t be only me whose feeling like this i can’t stop crying, knowing this is his last game with portugal just makes me feel like im dead inside💔 ill forever support this man. WE LOVE YOU Ronaldo and i love everybody else  on portugal national squad keep yall head up😥",,6638084,0,1720219827
3381101419347397938,C7sFdO5xU0y,hala madrid🥂,,5699385,0,1717278720
3376004561239304445,C7Z-kL4xGj9,dream come true united 4L❤️,,4169002,0,1716671128
3370048285460548273,C7E0Q9yykqx,korea 🇰🇷 사랑해요,korea 🇰🇷 I love you,3386102,0,1715961085
3342513978984895385,C5i_sEmLBOZ,🤝🏽 PRIME ✍🏽 #ishowprime,,3017348,0,1712678739
3341353359368372981,C5e3y1WNcL1,wwe is real 💔 #drinkprime,,15016271,0,1712540524
3335266760985709545,C5JP3K3uIvp,i bought my first car thank you❤️🇵🇹,,5642400,0,1711814805
3277308783045998316,C17VvlouXbs,brazil🇧🇷 o que é speed?,brazil🇧🇷 what is speed?,5781114,0,1704905674
3225285910958896790,CzChHKdxvaW,Ballon d’Or🏆,Ballon d'Or 🏆,6395391,0,1698704065
3214241059830269705,CybRzbRqIcJ,india🇮🇳,,4960322,0,1697387404
3188169296358054920,Cw-pxVZOpwI,sad day😕,,4866299,0,1694279419
3154758267871010678,CvH8-4UrZ92,Mais Um🇧🇷,,8036464,0,1690296514
3127427554995525875,Ctm2sqcRtjz,i met ronaldo,,15993659,0,1687038439
3070717731410336495,CqdYYHiNNrv,lindo🌤️,,5869875,0,1680278103
2988756053786275016,Cl6Mcu6OqzI,‏ ‏الحمد لله,Thank you God,6684413,0,1670507508
2968740541965729016,CkzFcs6Kvz4,"signed to man united, im happy",,3975418,0,1668121705
2948357400316023777,Cjqq288uxPh,merch our right now link in bio,,2558224,0,1665691613
2934476476485523225,Ci5Ws7OqNcZ,SEWEYYYYY,,4314383,0,1664036880
2888312312362013450,CgVWL7CuZMK,We did it goodbye❤️,,2698999,0,1658533681
2855674619706795439,CehZO_FuOWv,🇵🇹SEWY,,2224627,0,1654644558
2817290003455534520,CcZBlTdOeW4,ben,,2575844,0,1650067162
2773874183433975524,CZ-x9-LNXbk,me n bae locked in💍,,1462177,0,1644891593
2756303282191158224,CZAWztMP0vQ,birthday boy🐶,,1143479,0,1642796978
2714280493607299903,CWrD7piPCs_,shake,,1053657,0,1637787760
,CV6Oht5Pf7g,,,954638,0,
,CVt3zVdtnk4,,,932089,0,
,CVEPH1Nsr-o,,,883435,0,
2675844109627781799,CUiggpcr3Kn,dooty booth lifestyle,,842801,0,1633205497
,CUJCjSqrHEq,,,891283,0,
,CTk5soaPSNo,,,1023463,0,
2652838584341237746,CTQxqMaHA_y,⚡️,,799813,0,1630463169
2650678705828919640,CTJGj0yn_lY,🐶,,799166,0,1630205750
,CRnDPILBIY4,,,845870,0,
2620248731556846126,CRc_laznRou,🐶,,711315,0,1626620771
2606550318537615059,CQsU7RhnabT,history,,765960,0,1624945033
,CQEd6rLHZ8p,,,705166,0,
2588437234841540990,CPr-fNyH9l-,⭐️,,851997,0,1623277334
