Tweet ID,Text,Created At,Views,Likes,Retweets,Replies,Quotes
1928666347807871019,IShowSpeed lifting the UCL before Arsenal? Ball knowledge: questionable. Trophy cabinet: undeniable. 😂🏆🔥 https://t.co/gT9k3wNGb8,Sat May 31 04:14:24 +0000 2025,17,2,2,0,0
1915965808770982094,IShowSpeed Smiling Trying Not To Laugh (2021) https://t.co/LUhHq1X3Fj,Sat Apr 26 03:07:00 +0000 2025,2059220,60984,5625,184,351
1928478517861187941,IShowSpeed just met Albanian Prime Minister Edi Rama once again and says he’ll be back in Albania this summer https://t.co/YsLyhZkouD,Fri May 30 15:48:02 +0000 2025,3253,36,3,1,0
1928527784504091069,Usain Bolt has offered IShowSpeed private coaching lessons to help him run faster https://t.co/SwyVxInxYz,Fri May 30 19:03:48 +0000 2025,550653,24404,458,92,67
1928460500423110771,"Thiago meets iShowSpeed!

😭🔴 https://t.co/GXN17y13Er",Fri May 30 14:36:27 +0000 2025,300514,8164,277,36,25
1926005113216291032,"FIFA President Gianni Infantino pulled up on IShowSpeed’s stream

 https://t.co/d2p9UBzeaX",Fri May 23 19:59:37 +0000 2025,2047869,60427,1513,189,171
1925631624479203713,"iShowSpeed ""One Kiss Is All It Takes"" Rage (2022) https://t.co/m26c0sWkT5",Thu May 22 19:15:30 +0000 2025,1781558,65651,5566,68,124
1928575310997438552,Ishowspeed probably touched the Champions League trophy more times than Arsenal's entire squad combined 😂 https://t.co/HMQldhnuWr,Fri May 30 22:12:39 +0000 2025,297,6,3,1,1
1928642664397685058,Usain Bolt has offered IShowSpeed private coaching lessons https://t.co/UraIjrCqdI,Sat May 31 02:40:18 +0000 2025,25537,342,15,48,0
1924510546180587949,iShowSpeed Stands with Palestine 🇵🇸 https://t.co/Aot90dG1re,Mon May 19 17:00:44 +0000 2025,254662,34447,5629,78,37
1928492002229829978,IShowSpeed visits the Allianz Arena and is thrilled: https://t.co/hgOKlXvNLY,Fri May 30 16:41:37 +0000 2025,21422,813,28,1,3
1928482977916355018,Usain Bolt messaged iShowSpeed on IG officially offering to coach him on how to run faster 👀🔥 https://t.co/GdCkBhuBUU,Fri May 30 16:05:46 +0000 2025,415750,26700,821,91,42
