Day,Total Subscribers,Subscribers Gained,Total Views,Views Gained
2022-06-03T00:00:00Z,8130000,0,538974007,0
2022-06-04T00:00:00Z,8140000,10000,540643450,1669443
2022-06-06T00:00:00Z,8210000,70000,545667441,5023991
2022-06-07T00:00:00Z,8230000,20000,548109756,2442315
2022-06-08T00:00:00Z,8250000,20000,550868674,2758918
2022-06-09T00:00:00Z,8270000,20000,553324965,2456291
2022-06-10T00:00:00Z,8330000,60000,555585771,2260806
2022-06-11T00:00:00Z,8370000,40000,560466457,4880686
2022-06-12T00:00:00Z,8400000,30000,563621857,3155400
2022-06-13T00:00:00Z,8420000,20000,567098550,3476693
2022-06-14T00:00:00Z,8450000,30000,569091246,1992696
2022-06-15T00:00:00Z,8480000,30000,570600134,1508888
2022-06-16T00:00:00Z,8500000,20000,572515897,1915763
2022-06-17T00:00:00Z,8530000,30000,575833185,3317288
2022-06-18T00:00:00Z,8560000,30000,578464068,2630883
2022-06-19T00:00:00Z,8590000,30000,580928611,2464543
2022-06-20T00:00:00Z,8630000,40000,583913551,2984940
2022-06-21T00:00:00Z,8660000,30000,587202193,3288642
2022-06-22T00:00:00Z,8690000,30000,590758312,3556119
2022-06-23T00:00:00Z,8710000,20000,592616749,1858437
2022-06-24T00:00:00Z,8730000,20000,593997336,1380587
2022-06-25T00:00:00Z,8760000,30000,596626481,2629145
2022-06-26T00:00:00Z,8780000,20000,598848964,2222483
2022-06-27T00:00:00Z,8810000,30000,601066542,2217578
2022-06-28T00:00:00Z,8840000,30000,603834963,2768421
2022-06-29T00:00:00Z,8880000,40000,605279280,1444317
2022-06-30T00:00:00Z,8920000,40000,608630870,3351590
2022-07-01T00:00:00Z,8950000,30000,612467842,3836972
2022-07-02T00:00:00Z,9020000,70000,615629558,3161716
2022-07-03T00:00:00Z,9090000,70000,618751289,3121731
2022-07-04T00:00:00Z,9130000,40000,621295169,2543880
2022-07-05T00:00:00Z,9210000,80000,624792677,3497508
2022-07-06T00:00:00Z,9270000,60000,630527432,5734755
2022-07-07T00:00:00Z,9330000,60000,635028830,4501398
2022-07-08T00:00:00Z,9370000,40000,639239159,4210329
2022-07-12T00:00:00Z,9560000,190000,651637088,12397929
2022-07-14T00:00:00Z,9630000,70000,657516583,5879495
2022-07-15T00:00:00Z,9670000,40000,659545173,2028590
2022-07-16T00:00:00Z,9700000,30000,662692173,3147000
2022-07-17T00:00:00Z,9720000,20000,665340602,2648429
2022-07-18T00:00:00Z,9770000,50000,667056730,1716128
2022-07-19T00:00:00Z,9820000,50000,669157858,2101128
2022-07-20T00:00:00Z,9870000,50000,673242042,4084184
2022-07-21T00:00:00Z,9930000,60000,676710055,3468013
2022-07-22T00:00:00Z,9980000,50000,678760947,2050892
2022-07-23T00:00:00Z,10000000,20000,682215496,3454549
2022-07-24T00:00:00Z,10100000,100000,684271417,2055921
2022-07-25T00:00:00Z,10100000,0,686422451,2151034
2022-07-26T00:00:00Z,10100000,0,687922575,1500124
2022-07-27T00:00:00Z,10200000,100000,689313172,1390597
2022-07-28T00:00:00Z,10200000,0,690687211,1374039
2022-07-29T00:00:00Z,10200000,0,691970177,1282966
2022-07-30T00:00:00Z,10300000,100000,694420476,2450299
2022-07-31T00:00:00Z,10300000,0,698108081,3687605
2022-08-01T00:00:00Z,10300000,0,700210772,2102691
2022-08-02T00:00:00Z,10300000,0,702958878,2748106
2022-08-03T00:00:00Z,10400000,100000,705403066,2444188
2022-08-04T00:00:00Z,10400000,0,707813887,2410821
2022-08-05T00:00:00Z,10400000,0,709856518,2042631
2022-08-06T00:00:00Z,10400000,0,711996518,2140000
2022-08-07T00:00:00Z,10400000,0,713746008,1749490
2022-08-08T00:00:00Z,10500000,100000,716899295,3153287
2022-08-09T00:00:00Z,10500000,0,719600468,2701173
2022-08-10T00:00:00Z,10500000,0,726329248,6728780
2022-08-11T00:00:00Z,10600000,100000,730429893,4100645
2022-08-12T00:00:00Z,10600000,0,733953169,3523276
2022-08-13T00:00:00Z,10600000,0,737053566,3100397
2022-08-14T00:00:00Z,10600000,0,739751695,2698129
2022-08-15T00:00:00Z,10600000,0,742236010,2484315
2022-08-16T00:00:00Z,10700000,100000,745729517,3493507
2022-08-17T00:00:00Z,10700000,0,748762759,3033242
2022-08-18T00:00:00Z,10700000,0,751679867,2917108
2022-08-19T00:00:00Z,10700000,0,753434133,1754266
2022-08-20T00:00:00Z,10700000,0,755322028,1887895
2022-08-21T00:00:00Z,10800000,100000,758649924,3327896
2022-08-22T00:00:00Z,10800000,0,761232642,2582718
2022-08-23T00:00:00Z,10800000,0,762604973,1372331
2022-08-24T00:00:00Z,10800000,0,765564585,2959612
2022-08-25T00:00:00Z,10800000,0,767043631,1479046
2022-08-26T00:00:00Z,10800000,0,767877919,834288
2022-08-27T00:00:00Z,10800000,0,770168518,2290599
2022-08-28T00:00:00Z,10900000,100000,772472868,2304350
2022-08-29T00:00:00Z,10900000,0,774587171,2114303
2022-08-30T00:00:00Z,10900000,0,776545910,1958739
2022-08-31T00:00:00Z,10900000,0,777870804,1324894
2022-09-01T00:00:00Z,10900000,0,778759112,888308
2022-09-02T00:00:00Z,10900000,0,779958505,1199393
2022-09-03T00:00:00Z,11000000,100000,781964343,2005838
2022-09-04T00:00:00Z,11000000,0,784397566,2433223
2022-09-05T00:00:00Z,11000000,0,786676612,2279046
2022-09-06T00:00:00Z,11000000,0,788368844,1692232
2022-09-07T00:00:00Z,11000000,0,789837878,1469034
2022-09-08T00:00:00Z,11000000,0,793104384,3266506
2022-09-09T00:00:00Z,11100000,100000,795290918,2186534
2022-09-10T00:00:00Z,11100000,0,796329368,1038450
2022-09-11T00:00:00Z,11100000,0,798474735,2145367
2022-09-12T00:00:00Z,11100000,0,800764184,2289449
2022-09-13T00:00:00Z,11100000,0,802410853,1646669
2022-09-14T00:00:00Z,11100000,0,803373259,962406
2022-09-15T00:00:00Z,11100000,0,805391038,2017779
2022-09-16T00:00:00Z,11100000,0,807735438,2344400
2022-09-17T00:00:00Z,11200000,100000,809722030,1986592
2022-09-18T00:00:00Z,11200000,0,811702444,1980414
2022-09-19T00:00:00Z,11200000,0,813191643,1489199
2022-09-20T00:00:00Z,11200000,0,815179770,1988127
2022-09-21T00:00:00Z,11200000,0,817562517,2382747
2022-09-22T00:00:00Z,11200000,0,819023402,1460885
2022-09-23T00:00:00Z,11200000,0,819049553,26151
2022-09-24T00:00:00Z,11300000,100000,819936196,886643
2022-09-25T00:00:00Z,11300000,0,821036797,1100601
2022-09-26T00:00:00Z,11400000,100000,822707516,1670719
2022-09-27T00:00:00Z,11400000,0,824175424,1467908
2022-09-28T00:00:00Z,11400000,0,825251984,1076560
2022-09-29T00:00:00Z,11500000,100000,826276456,1024472
2022-09-30T00:00:00Z,11500000,0,827307107,1030651
2022-10-01T00:00:00Z,11500000,0,828431393,1124286
2022-10-02T00:00:00Z,11500000,0,829736903,1305510
2022-10-03T00:00:00Z,11500000,0,830880580,1143677
2022-10-04T00:00:00Z,11500000,0,831824600,944020
2022-10-05T00:00:00Z,11600000,100000,832825930,1001330
2022-10-06T00:00:00Z,11600000,0,835408413,2582483
2022-10-07T00:00:00Z,11700000,100000,839327710,3919297
2022-10-08T00:00:00Z,11700000,0,841882777,2555067
2022-10-09T00:00:00Z,11800000,100000,844744871,2862094
2022-10-10T00:00:00Z,11800000,0,846693395,1948524
2022-10-11T00:00:00Z,11800000,0,848920382,2226987
2022-10-12T00:00:00Z,11900000,100000,850687512,1767130
2022-10-13T00:00:00Z,11900000,0,853196929,2509417
2022-10-14T00:00:00Z,11900000,0,855610596,2413667
2022-10-15T00:00:00Z,12000000,100000,857154419,1543823
2022-10-16T00:00:00Z,12000000,0,861335689,4181270
