Video ID,Video Title,Comment ID,Author,Published Time,Likes,Comment Text
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,Ugz0Q_IQGoB9nxvpu7d4AaABAg,@HFTVSportsOfficial,11 months ago,4.7K,Our “Caufield’s On Fire” chant going worldwide now 🔥
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,Ugyh6juc0x2For7awXt4AaABAg,@Sambucha,11 months ago,2.4K,:_speedCR7:
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,Ugx8zYe6MKibSLQm5vx4AaABAg,@dearaug,11 months ago,4.9K,never in my life id think id see caufield with speed😭
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,UgxPCKHHK_cvW2alp-Z4AaABAg,@ribclicker,1 month ago (edited),49,Ishowspeed collabing with Cole Caufield wasn’t on my bingo card.
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,UgwOAQrf3dZ7caqGpft4AaABAg,@AtomicGamesonYT,6 months ago,1.3K,"As a actual hockey player, speed actually did great for his first time on ice"
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,UgzuEbb87OuDeukzSxZ4AaABAg,@apexwarriorryan1479,6 months ago,961,Caulfield not telling speed he put the sock on backwards is criminal
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,UgxXMkmnhTuo-9LR0SN4AaABAg,@Daniyar66,4 weeks ago,3,We want Amy back 😢 like for Amy people i know we all miss her 😔
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,UgwDWDZqR1J5m-nN6aF4AaABAg,@nedyarB_527,2 months ago,90,"as a hockey player, he actually skated pretty well but still painfully funny to watch"
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,UgzQrqoeA747wefgG-l4AaABAg,@mrnaileee,11 months ago,2.5K,Speed is playing HOCKEY before GTA 6 its crazy
quwYZt772Ng,IShowSpeed Learns Hockey with Cole Caufield,Ugwds_Zi1Sk808fpnmZ4AaABAg,@ClipMania01,11 months ago,1.6K,Wow! I didn't expect to see Speed with Cole Caufield from Montreal Canadiens.
