Tweet ID,Text,Created At,Views,Likes,Retweets,Replies,Quotes
1911123362484814166,Thank You China &amp; Mongolia🇨🇳🇭🇰🇲🇳 https://t.co/pEGTeb2PCR,Sat Apr 12 18:24:51 +0000 2025,19255999,407626,19481,2669,1136
1910687966290419764,"I opened the wrong door 🚪
@ksi watched the chaos unfold 🤯
Eubank vs Benn — when the game ends, the real battle begins, live from London 🎮🥊

📍Tottenham Hotspur Stadium
🗓️26 April, 2025

Buy PPV on DAZN and SKY
https://t.co/aOsaRxLUjV

@KOFstudio_en https://t.co/Dbv0fJ2QdZ",Fri Apr 11 13:34:44 +0000 2025,1564295,13578,712,339,145
1909883792883413235,One Way Out 🕳️ https://t.co/OySSuzwHyY,Wed Apr 09 08:19:14 +0000 2025,8599259,241885,8925,1628,695
1906233598879129990,climbing  the LOVE LADDER🇨🇳🗻 https://t.co/OVqH7WRSCf,Sun Mar 30 06:34:40 +0000 2025,75619135,316889,13491,4359,5876
1905607632272195847,i learned kung fu🇨🇳🥋 https://t.co/j2Zg4IFKK6,Fri Mar 28 13:07:18 +0000 2025,27468846,504508,30828,5468,3830
1902781952811311342,"Every Shoe for Every Athlete 

@DICKS https://t.co/19v1G2yeo8",Thu Mar 20 17:59:04 +0000 2025,4854498,107240,3783,913,369
1902031607805907321,https://t.co/7FiVLAMmas,Tue Mar 18 16:17:27 +0000 2025,2390887,2572,91,82,9
1902031381170929955,"CHINA HERE I COME!!!! 🇨🇳🇲🇳🇭🇰 

LIVE 2:00PM CST 3/24 https://t.co/PEfOJtx1rR",Tue Mar 18 16:16:33 +0000 2025,13073017,112216,4337,1514,1633
1898440034954653908,2 goals🔥 https://t.co/DlkBLKupAA,Sat Mar 08 18:25:50 +0000 2025,6529959,287109,10469,2154,388
1885893645066449286,https://t.co/fXGjVHzwSl,Sun Feb 02 03:30:57 +0000 2025,60223772,1022789,41807,10123,4719
1885886441105903691,no more WWE💔 https://t.co/iOb9xDGKGs,Sun Feb 02 03:02:20 +0000 2025,37153117,600188,38148,5684,4058
